market,name,book_group,line_bucket,tau,n,roi,sharpe,roi_p,mean_edge,roi_fdr_survive,season_sign_consistent
alternate_totals,alternate_totals|majors|high|tau0.06,majors,high,0.06,3164,-0.02728899218305295,-0.02525389798300707,0.9222714949141672,-0.004437193158162975,False,True
alternate_totals,alternate_totals|majors|high|tau0.08,majors,high,0.08,2258,-0.03678876140442572,-0.03308350827774561,0.9420335317876579,-0.000902116843521123,False,True
alternate_totals,alternate_totals|ballybet|all|tau0.02,ballybet,all,0.02,2771,-0.01614059691163447,-0.019941483310382695,0.8530778179986593,0.012016854622366126,False,True
alternate_totals,alternate_totals|ballybet|all|tau0.03,ballybet,all,0.03,2771,-0.011368394382916692,-0.012912679255180982,0.7516613837714151,0.009426242538395383,False,False
alternate_totals,alternate_totals|ballybet|all|tau0.04,ballybet,all,0.04,2742,-0.0017626866509929257,-0.0018249045279473796,0.5380647843312207,0.0070263755219011825,False,False
alternate_totals,alternate_totals|ballybet|all|tau0.06,ballybet,all,0.06,2216,0.013301696802918471,0.013176868733488237,0.2675323491300407,0.00801767232210702,False,False
alternate_totals,alternate_totals|ballybet|all|tau0.08,ballybet,all,0.08,1722,0.021853181925831053,0.021397055866296796,0.1872936769060162,0.012152326694826819,False,False
alternate_totals,alternate_totals|ballybet|low|tau0.02,ballybet,low,0.02,2706,-0.005264541829974983,-0.005351833366594682,0.6096466632272446,-0.0040325018621419515,False,False
alternate_totals,alternate_totals|ballybet|low|tau0.03,ballybet,low,0.03,2691,-0.0049545925285858425,-0.004773529606244567,0.5977881540519822,-0.00608895673319807,False,False
alternate_totals,alternate_totals|ballybet|low|tau0.04,ballybet,low,0.04,2626,0.003635404365543824,0.003340736754299921,0.43203544574542224,-0.0069606334372280644,False,False
alternate_totals,alternate_totals|ballybet|low|tau0.06,ballybet,low,0.06,2055,0.015860233993571046,0.01441359432719497,0.2567496666352663,-0.007774606087930625,False,False
alternate_totals,alternate_totals|ballybet|low|tau0.08,ballybet,low,0.08,1584,0.032177543922808166,0.029340561853061064,0.12145590552112487,-0.00504862719068756,False,False
alternate_totals,alternate_totals|ballybet|mid|tau0.02,ballybet,mid,0.02,2767,-0.002081731144116469,-0.00217399232767419,0.5455225828925593,0.015012992922753923,False,False
alternate_totals,alternate_totals|ballybet|mid|tau0.03,ballybet,mid,0.03,2700,0.003660425310857078,0.003604335240373643,0.4257179044309764,0.015126941982753266,False,False
alternate_totals,alternate_totals|ballybet|mid|tau0.04,ballybet,mid,0.04,2441,0.012069140166883712,0.011729315345265395,0.2811245227856486,0.016082092629110922,False,False
alternate_totals,alternate_totals|ballybet|mid|tau0.06,ballybet,mid,0.06,1895,0.014077147289334816,0.013534883285498234,0.2778652037952093,0.02037344967964979,False,False
alternate_totals,alternate_totals|ballybet|mid|tau0.08,ballybet,mid,0.08,1493,0.021840611605828075,0.020873188611032326,0.2099696352703085,0.02771460329170625,False,False
alternate_totals,alternate_totals|ballybet|high|tau0.02,ballybet,high,0.02,2400,-0.04260844968629852,-0.038485769280366525,0.9703127436013385,0.03191704826383788,False,True
alternate_totals,alternate_totals|ballybet|high|tau0.03,ballybet,high,0.03,2141,-0.031449033849690076,-0.028149024812855885,0.9036241445174434,0.03499568886554966,False,True
alternate_totals,alternate_totals|ballybet|high|tau0.04,ballybet,high,0.04,1869,-0.034342739577267946,-0.03040802074136127,0.9056773953655681,0.04013593591844366,False,True
alternate_totals,alternate_totals|ballybet|high|tau0.06,ballybet,high,0.06,1431,-0.03594066220714228,-0.03156247653613898,0.8837537903996546,0.05045618311532992,False,True
alternate_totals,alternate_totals|ballybet|high|tau0.08,ballybet,high,0.08,1133,-0.033286101670553334,-0.02878460633816506,0.8337003941142642,0.06417773816300354,False,True
alternate_totals,alternate_totals|barstool|all|tau0.02,barstool,all,0.02,622,-0.06472739128840112,-0.0798288881288283,0.9767555272892204,-0.042719390145675426,False,False
alternate_totals,alternate_totals|barstool|all|tau0.03,barstool,all,0.03,593,-0.06304643139011637,-0.07367904854674215,0.9636095398050258,-0.04814714969376167,False,False
alternate_totals,alternate_totals|barstool|all|tau0.04,barstool,all,0.04,558,-0.0659904623267828,-0.0717814927965164,0.955021456387154,-0.054962788118161965,False,False
alternate_totals,alternate_totals|barstool|all|tau0.06,barstool,all,0.06,448,-0.04731643502915276,-0.046599431598302175,0.8380129411134674,-0.07271455883323139,False,False
alternate_totals,alternate_totals|barstool|all|tau0.08,barstool,all,0.08,333,-0.059837631330783264,-0.056542547550458684,0.8489181841601041,-0.09121492954038961,False,False
alternate_totals,alternate_totals|barstool|low|tau0.02,barstool,low,0.02,576,-0.05000871484650044,-0.04309513919398638,0.8494981386708096,-0.048701798631866224,False,False
alternate_totals,alternate_totals|barstool|low|tau0.03,barstool,low,0.03,551,-0.061502334532938546,-0.05107974763025659,0.8847389037546786,-0.05455082085244205,False,False
alternate_totals,alternate_totals|barstool|low|tau0.04,barstool,low,0.04,514,-0.04299904710983503,-0.03440420547901059,0.7823037640692642,-0.06127481446664378,False,False
alternate_totals,alternate_totals|barstool|low|tau0.06,barstool,low,0.06,404,-0.018562420442614587,-0.014166535819500881,0.6120798018437111,-0.08077196611374253,False,False
alternate_totals,alternate_totals|barstool|low|tau0.08,barstool,low,0.08,298,-0.02406946246741333,-0.01783849789130182,0.6209360890191773,-0.0963808154148288,False,False
alternate_totals,alternate_totals|barstool|mid|tau0.02,barstool,mid,0.02,606,-0.08291227610589168,-0.0890952412248491,0.9858558017179094,-0.047749950727415884,False,False
alternate_totals,alternate_totals|barstool|mid|tau0.03,barstool,mid,0.03,563,-0.07551560022370932,-0.0780368227770444,0.9679603815983567,-0.05286878061404016,False,False
alternate_totals,alternate_totals|barstool|mid|tau0.04,barstool,mid,0.04,503,-0.06360294574751016,-0.06519843806498776,0.9281634370803056,-0.06094204420948938,False,False
alternate_totals,alternate_totals|barstool|mid|tau0.06,barstool,mid,0.06,377,-0.08132368670845298,-0.0823253949426249,0.945030794903315,-0.07818452139134466,False,False
alternate_totals,alternate_totals|barstool|mid|tau0.08,barstool,mid,0.08,266,-0.04509099095119374,-0.04428369725343943,0.7649281447894988,-0.09724825391814189,False,False
alternate_totals,alternate_totals|barstool|high|tau0.02,barstool,high,0.02,522,-0.07227267054313538,-0.08618045119104649,0.9755230116172692,-0.040943939899154964,False,False
alternate_totals,alternate_totals|barstool|high|tau0.03,barstool,high,0.03,450,-0.0635149082187227,-0.07742961704919142,0.9497599155182243,-0.048142240800739144,False,False
alternate_totals,alternate_totals|barstool|high|tau0.04,barstool,high,0.04,383,-0.09386167074328002,-0.12104662851530895,0.9910801664042995,-0.05658351518006968,False,False
alternate_totals,alternate_totals|barstool|high|tau0.06,barstool,high,0.06,265,-0.07738572610983879,-0.10207686281186298,0.9517126203494709,-0.07343176644684475,False,False
alternate_totals,alternate_totals|barstool|high|tau0.08,barstool,high,0.08,170,-0.04169546820409416,-0.05623582151837168,0.7682895188014751,-0.09347118653048608,False,False
alternate_totals,alternate_totals|betmgm|all|tau0.02,betmgm,all,0.02,5340,-0.03386802450276587,-0.04268227204978532,0.9990927317472612,-0.00999169628127481,False,True
alternate_totals,alternate_totals|betmgm|all|tau0.03,betmgm,all,0.03,5314,-0.033867403909696225,-0.039116016751143914,0.9978239672143775,-0.012589171386682084,False,False
alternate_totals,alternate_totals|betmgm|all|tau0.04,betmgm,all,0.04,5288,-0.031942281539817034,-0.033197139001596966,0.9921118657164985,-0.015560674823510819,False,False
alternate_totals,alternate_totals|betmgm|all|tau0.06,betmgm,all,0.06,4208,-0.015155152288627936,-0.014027385107885723,0.818573934091242,-0.023245591333218095,False,False
alternate_totals,alternate_totals|betmgm|all|tau0.08,betmgm,all,0.08,3017,-0.004153856696687972,-0.0037327916765458073,0.5812263938993815,-0.027905984132234826,False,False
alternate_totals,alternate_totals|betmgm|low|tau0.02,betmgm,low,0.02,5313,-0.043054380704218374,-0.03862536785225098,0.9975642916317833,-0.018540869622909312,False,False
alternate_totals,alternate_totals|betmgm|low|tau0.03,betmgm,low,0.03,5293,-0.0487196726035455,-0.040478750251368156,0.9983849698546822,-0.022961505509517994,False,False
alternate_totals,alternate_totals|betmgm|low|tau0.04,betmgm,low,0.04,5231,-0.04508076097035844,-0.03537752957373997,0.9947468256656025,-0.02713436111562959,False,False
alternate_totals,alternate_totals|betmgm|low|tau0.06,betmgm,low,0.06,4020,-0.02602301307729736,-0.0193817567583468,0.8904398429810947,-0.038096180215617226,False,False
alternate_totals,alternate_totals|betmgm|low|tau0.08,betmgm,low,0.08,2880,0.0006159384338661095,0.00044954595326845666,0.49037638421926394,-0.04522267012610167,False,False
alternate_totals,alternate_totals|betmgm|mid|tau0.02,betmgm,mid,0.02,5301,-0.030982364717791904,-0.03286490784636864,0.9916404414136568,-0.01223495523243196,False,False
alternate_totals,alternate_totals|betmgm|mid|tau0.03,betmgm,mid,0.03,5064,-0.025708478603077622,-0.02604090508907352,0.9680672300306556,-0.013698468070430717,False,False
alternate_totals,alternate_totals|betmgm|mid|tau0.04,betmgm,mid,0.04,4555,-0.016076053155215604,-0.015926036487965693,0.8587812912510572,-0.016311690286062747,False,False
alternate_totals,alternate_totals|betmgm|mid|tau0.06,betmgm,mid,0.06,3463,-0.01635257556917454,-0.015932425058038425,0.8257697397798808,-0.02042059363921667,False,False
alternate_totals,alternate_totals|betmgm|mid|tau0.08,betmgm,mid,0.08,2565,-0.0027911851285784897,-0.002688535718219402,0.5541538353717307,-0.02241984261645981,False,False
