kind,market,book_group,season,n,n_brier,brier,log_loss,over_rate,implied_over_rate,calib_bias,calib_z,calib_p,mean_vig,mean_dist_to_sharp,line_mae,line_rmse,push_rate,n_line,calib_fdr_survive,favorite_rate,tie_rate,strategy,line_bucket,roi,sharpe,roi_p,roi_fdr_survive,season_sign_consistent
efficiency,totals_1st_1_innings,betmgm,2024,264,264.0,0.2487539169958768,0.6906739944726177,0.4431818181818182,0.48559509116444594,-0.04241327298262776,-1.3872543005077458,0.16536423287255095,0.06115377803283378,0.01570416292403521,0.928030303030303,1.282161999881214,0.0,264.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betmgm,2025,883,883.0,0.24862747704461982,0.6903976368566251,0.4971687429218573,0.48835419871898134,0.008814544202875974,0.5238623299373001,0.6003742971460928,0.06097579792763374,0.011379329287577617,1.066251415628539,1.582302320734437,0.0,883.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betmgm,2026,894,894.0,0.24938978126518802,0.6919386642381506,0.5044742729306487,0.48464100755843,0.019833265372218745,1.1860701251479149,0.2355946073308769,0.06124201355423941,0.01201074086817005,1.1140939597315436,1.6491812082721902,0.0,894.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betmgm,pooled,2041,2041.0,0.24897773678020033,0.6911083849652513,0.49338559529642334,0.48637085854655093,0.007014736749872408,0.6338709953867532,0.5261650157801188,0.061115427284791156,0.012215410964780484,1.0693287604115629,1.5770664721313503,0.0,2041.0,False,,,,,,,,,
efficiency,totals_1st_1_innings,betonlineag,2024,121,121.0,0.2466025951944752,0.6863355001369897,0.4297520661157025,0.4740941413609664,-0.0443420752452639,-0.9852985708980514,0.32447743449698163,0.07029153786545873,0.01651053554490844,0.9545454545454546,1.3118972445147101,0.0,121.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betonlineag,2025,723,723.0,0.24999765006004432,0.6931551054700723,0.4951590594744122,0.4834112472547063,0.011747812219705889,0.6317954536245508,0.5275205448079078,0.07000998927767083,0.014612390253791319,1.0836791147994467,1.6179961310042354,0.0,723.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betonlineag,2026,686,686.0,0.24857165850302088,0.6903067223050207,0.4912536443148688,0.4794474664276683,0.011806177887200509,0.6185400601252448,0.5362193993195459,0.06994726333045677,0.014265347111813504,1.0830903790087463,1.6133101621511876,0.0,686.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betonlineag,pooled,1530,1530.0,0.24908978610785348,0.691338659001753,0.48823529411764705,0.4808971796334707,0.007338114484176372,0.574222819559162,0.565817029240538,0.07000413135566656,0.014606902662175889,1.073202614379085,1.5937992591387953,0.0,1530.0,False,,,,,,,,,
efficiency,totals_1st_1_innings,betrivers,2023,186,186.0,0.22067184374035304,0.6324315354278851,0.3763440860215054,0.3643942880141208,0.011949798007384549,0.33639688528011535,0.7365715979567443,0.05475304889219461,0.014750838526912712,1.1827956989247312,1.437777556187072,0.0,186.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betrivers,2024,511,511.0,0.2280449241516572,0.6480337738032981,0.3542074363992172,0.3833741831407502,-0.029166746741533023,-1.3785517803193497,0.16803299242536768,0.05706544698395144,0.014712643678726498,1.0909980430528377,1.4001327865459265,0.0,511.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betrivers,2025,284,284.0,0.2141231859741361,0.6179567299292041,0.3380281690140845,0.39066068759442096,-0.05263251858033646,-1.8750684281944852,0.06078331029309534,0.05510813713739411,0.014429917282701016,1.130281690140845,1.4619589404842983,0.0,284.0,,,,,,,,,,
efficiency,totals_1st_1_innings,betrivers,pooled,981,981.0,0.22261661976947722,0.636368231705368,0.35372069317023447,0.38188499534389947,-0.028164302173665,-1.844986275752105,0.06503953506676388,0.05606036845032345,0.014627955569547022,1.1197757390417942,1.425431601215982,0.0,981.0,False,,,,,,,,,
efficiency,totals_1st_1_innings,bovada,2023,253,253.0,0.21001538998167465,0.6103578694916746,0.30434782608695654,0.3011386151498796,0.003209210937076934,0.11093723795546372,0.9116661162222377,0.06582094609893122,,1.2233201581027668,1.4463392524582817,0.0,253.0,,,,,,,,,,
efficiency,totals_1st_1_innings,bovada,2024,510,510.0,0.19337320782770748,0.5752049614242725,0.2607843137254902,0.28842888790561005,-0.02764457418011984,-1.4218987528078428,0.15505564532555355,0.07161692121045976,,1.2607843137254902,1.4413365257260904,0.0,510.0,,,,,,,,,,
efficiency,totals_1st_1_innings,bovada,2025,828,828.0,0.19952594723733516,0.5885510475200197,0.2741545893719807,0.2865249543098917,-0.01237036493791105,-0.7979539933872823,0.4248971886856771,0.0664239581424461,,1.3043478260869565,1.5545631755148024,0.0,828.0,,,,,,,,,,
efficiency,totals_1st_1_innings,bovada,2026,282,282.0,0.2473006482298687,0.6877220699227047,0.5035460992907801,0.47279540540267323,0.03075069388810686,1.032809900710215,0.3016928695129554,0.0665721667309768,0.012734424580929923,1.1170212765957446,1.6072751268321592,0.0,282.0,,,,,,,,,,
efficiency,totals_1st_1_innings,bovada,pooled,1873,1873.0,0.20646048946654083,0.6027938934183403,0.30912973838761343,0.3170623432765215,-0.007932604888908068,-0.7428755576987968,0.4575570250525465,0.06777881342255468,0.012734424580929923,1.2533368926855313,1.5183958292511341,0.0,1873.0,False,,,,,,,,,
efficiency,totals_1st_1_innings,fanduel,2024,264,264.0,0.2485748956958643,0.6903106584820985,0.4431818181818182,0.4856041358003217,-0.04242231761850351,-1.3875501326643518,0.16527407534464056,0.06038165278534884,0.015260606924495067,0.9204545454545454,1.2732682832820903,0.0,264.0,,,,,,,,,,
efficiency,totals_1st_1_innings,fanduel,2025,538,538.0,0.24786895476021292,0.6888815353436646,0.4628252788104089,0.4891739346608732,-0.02634865585046431,-1.2256974529069233,0.2203125490847053,0.06035841723668169,0.013402995723951884,1.0390334572490707,1.5499730181126778,0.0,538.0,,,,,,,,,,
efficiency,totals_1st_1_innings,fanduel,2026,857,857.0,0.24867827210153062,0.6904907958196509,0.5017502917152858,0.48679811049108807,0.01495218122419778,0.8754424865215731,0.38133319097551366,0.06027869865879632,0.014405082802687437,1.1149358226371062,1.6560239740315037,0.0,857.0,,,,,,,,,,
efficiency,totals_1st_1_innings,fanduel,pooled,1659,1659.0,0.2483993666761389,0.6899402603204378,0.4798071127185051,0.48737857106069754,-0.007571458342192416,-0.6172870762799337,0.5370453896607843,0.060320934032100836,0.014216141620418128,1.0593731163351416,1.5664409312447638,0.0,1659.0,False,,,,,,,,,
efficiency,totals_1st_1_innings,superbook,2024,223,223.0,0.24937383653993253,0.6918906534774381,0.4618834080717489,0.48405707668860604,-0.022173668616857156,-0.6641797218244688,0.5065752904897293,0.06646307212725297,0.015723997819718054,0.9887892376681614,1.381735439623703,0.0,223.0,,,,,,,,,,
efficiency,totals_1st_1_innings,superbook,pooled,223,223.0,0.24937383653993253,0.6918906534774381,0.4618834080717489,0.48405707668860604,-0.022173668616857156,-0.6641797218244688,0.5065752904897293,0.06646307212725297,0.015723997819718054,0.9887892376681614,1.381735439623703,0.0,223.0,False,,,,,,,,,
