config,book_group,line_bucket,tau,anchor,n_bets,roi_net_vig,sharpe,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
draftkings|mid_5p5|tau0.1|pinnacle,draftkings,mid_5p5,0.1,pinnacle,556,0.00269,0.00278,-0.02611,157,0.02353,197,0.10312,131,-0.17675,71
fanatics|all|tau0.06|book,fanatics,all,0.06,book,1267,0.00264,0.00277,,0,,0,-0.00741,995,0.03941,272
draftkings|low_le4p5|tau0.08|pinnacle,draftkings,low_le4p5,0.08,pinnacle,1609,0.00238,0.00245,-0.01269,338,-0.04061,515,0.0227,577,0.08897,179
soft|low_le4p5|tau0.1|pinnacle,soft,low_le4p5,0.1,pinnacle,8120,0.00217,0.00223,0.04095,1794,-0.03045,2691,-0.00425,2829,0.04725,806
mybookieag|all|tau0.1|book,mybookieag,all,0.1,book,1663,0.00208,0.0022,0.03891,424,-0.01654,650,4e-05,414,-0.01321,175
superbook|all|tau0.08|book,superbook,all,0.08,book,425,0.00202,0.0022,,0,0.00202,425,,0,,0
fanduel|high_ge6p5|tau0.06|book,fanduel,high_ge6p5,0.06,book,823,0.00178,0.00193,-0.04088,237,0.0482,264,-0.0507,223,0.09834,99
unibet_us|all|tau0.08|book,unibet_us,all,0.08,book,939,0.00163,0.00147,0.00447,597,-0.00332,342,,0,,0
bovada|all|tau0.08|book,bovada,all,0.08,book,2657,0.00159,0.00164,-0.04682,318,0.00433,966,0.01733,957,-0.00397,416
soft|all|tau0.08|book,soft,all,0.08,book,25532,0.0011,0.00112,-0.01391,6833,-0.00597,8639,0.02254,7345,0.00333,2715
soft|mid_5p5|tau0.1|pinnacle,soft,mid_5p5,0.1,pinnacle,3865,0.00091,0.00095,-0.02635,1075,-0.00351,1446,0.1056,870,-0.11592,474
williamhill_us|high_ge6p5|tau0.1|book,williamhill_us,high_ge6p5,0.1,book,385,0.00086,0.00095,-0.08708,152,0.0865,188,-0.05986,45,,0
betonlineag|high_ge6p5|tau0.1|pinnacle,betonlineag,high_ge6p5,0.1,pinnacle,445,0.00053,0.00057,-0.15463,110,0.10592,161,-0.03698,134,0.12866,40
bovada|low_le4p5|tau0.1|pinnacle,bovada,low_le4p5,0.1,pinnacle,1009,0.00035,0.00036,-0.00392,92,-0.03716,364,0.02553,424,0.02646,129
