signal,market,book_group,bucket,theta,anchor,n_games,n_quotes,clv_mean,clv_sharpe,clv_p,realized_roi,roi_fdr_survive,season_sign_consistent,is_control
reversion,totals,soft,all,1,t75,862,2517,0.06591260634184068,0.1378780049492903,2.5820224770265663e-05,-0.057514591371179126,True,False,False
reversion,totals,soft,low,0.5,t50,908,2358,0.16417033773861966,0.30340970526477,3.046840975323501e-20,-0.04781708836526643,True,True,False
reversion,totals,soft,low,0.5,t75,1079,3285,0.06111368551127587,0.21027743089443846,2.471189284124102e-12,-0.052037987946723714,True,False,False
reversion,totals,soft,low,1,t50,152,485,0.521875,0.4954634089082937,5.029123768167592e-10,-0.016066465610986007,True,True,False
reversion,totals,soft,low,1,t75,235,618,0.04411347517730497,0.10599755124429436,0.05209068835029866,-0.09370596198082802,False,False,False
reversion,totals,soft,mid,0.5,t50,2802,7049,0.08709255293837737,0.25760664631887975,1.2208970632886313e-42,-0.08160650407505932,True,True,False
reversion,totals,soft,mid,0.5,t75,3068,9046,0.05749945675793134,0.21099470453742727,7.436036308139327e-32,-0.07620371117645804,True,True,False
reversion,totals,soft,mid,1,t50,328,944,0.10452235772357724,0.25321793435694806,2.259397558275735e-06,-0.07241893129119965,True,True,False
reversion,totals,soft,mid,1,t75,422,1201,0.08428120063191152,0.27299756573011263,1.0228562968170907e-08,-0.09831975178711189,True,True,False
reversion,totals,soft,high,0.5,t50,817,2348,0.18122195022439821,0.2520668881121375,2.9047224996592556e-13,-0.03692826715124554,True,True,False
reversion,totals,soft,high,0.5,t75,864,2817,0.07242476851851852,0.15458662520111047,2.761140102856275e-06,-0.06794923887983755,True,False,False
reversion,totals,soft,high,1,t50,186,614,0.34457885304659497,0.25959476250155594,0.00019976009601887089,0.0855090365678392,True,False,False
reversion,totals,soft,high,1,t75,231,698,0.03466810966810967,0.04695413068410051,0.23772459841909338,0.049874705588203644,False,False,False
reversion,totals,majors,all,0.5,t50,3434,6258,0.11318190642593672,0.2311378416899981,4.254785598581999e-42,-0.06350137411605428,True,True,False
reversion,totals,majors,all,0.5,t75,4117,8285,0.05169621892964132,0.1612524291250462,2.1685775332817334e-25,-0.06966058762549877,True,False,False
reversion,totals,majors,all,1,t50,545,1153,0.258868501529052,0.27675856824795164,5.200878029129705e-11,0.012619656747780372,True,True,False
reversion,totals,majors,all,1,t75,708,1416,0.05273069679849341,0.10324885337021804,0.0030046517729728863,-0.045969404591535,True,False,False
reversion,totals,majors,low,0.5,t50,688,1231,0.1774467054263566,0.29442716267948515,5.692223789004768e-15,-0.023820143586099764,True,True,False
reversion,totals,majors,low,0.5,t75,895,1747,0.051024208566108016,0.1722635743791165,1.2781275554401e-07,-0.022781333098549208,True,False,False
reversion,totals,majors,low,1,t50,130,276,0.555128205128205,0.49764705037863854,6.973045462816725e-09,-0.022347174673810935,True,True,False
reversion,totals,majors,low,1,t75,186,343,0.03718637992831541,0.0825953591239246,0.1299874375978592,-0.07045876369894907,False,False,False
reversion,totals,majors,mid,0.5,t50,2195,3761,0.0788914198936978,0.23205086440523864,7.855708071966748e-28,-0.07956894802826311,True,True,False
reversion,totals,majors,mid,0.5,t75,2596,4972,0.04818310220852594,0.18057683029293722,1.7804077023588166e-20,-0.08205148020123311,True,True,False
reversion,totals,majors,mid,1,t50,264,530,0.07733585858585859,0.2097665625459521,0.00032684106498592514,-0.04282981373439287,True,True,False
reversion,totals,majors,mid,1,t75,346,682,0.07418111753371869,0.26738378752916414,3.2856023068209754e-07,-0.07224492816044685,True,True,False
reversion,totals,majors,high,0.5,t50,663,1266,0.15786827551533433,0.21758910226245526,1.0554637088944944e-08,-0.05692217111115001,True,True,False
reversion,totals,majors,high,0.5,t75,763,1566,0.05810397553516819,0.11892906574967473,0.0005097078918491508,-0.07283246196852314,True,False,False
reversion,totals,majors,high,1,t50,160,347,0.3078125,0.23627332725797323,0.0014010762447083922,0.12189039847947596,True,False,False
reversion,totals,majors,high,1,t75,192,391,0.02343749999999999,0.02913491133245646,0.34321476734744805,0.026420648492209847,False,False,False
reversion,totals,bovada,all,0.5,t50,2447,2447,0.12811606048222313,0.23434067837592662,2.2577795587400804e-31,-0.060584611517430755,True,True,False
reversion,totals,bovada,all,0.5,t75,2934,2934,0.060497614178595775,0.17639139079456306,6.209798388868895e-22,-0.05882262748760481,True,True,False
reversion,totals,bovada,all,1,t50,403,403,0.31265508684863524,0.29864385890712325,1.0159655310198137e-09,-0.0324107330796294,True,True,False
