pitcher_id,player_name,game_date,line_commence_date,game_year,bookmaker_key,over_price,under_price,pred_mean_k,line,is_integer_line,model_p_over,model_p_under,model_p_push,model_p_over_cond,model_p_under_cond,book_devig_over,book_devig_under,book_hold,devig_valid,edge_over,edge_under,ev_over,ev_under,best_side,best_edge,best_ev,pinnacle_devig_over_same_line,edge_vs_pinnacle,is_pinnacle
656288,Griffin Canning,2024-04-05,2024-04-06,2024,fanduel,112.0,-142.0,3.974,6.5,False,0.1139,0.8861,0.0,0.1139,0.8861,0.44564,0.55436,0.05847,True,-0.33174,0.33174,-0.75853,0.51011,under,0.33174,0.51011,0.4339,-0.32,False
668881,Hunter Greene,2023-08-25,2023-08-26,2023,mybookieag,-128.0,-106.0,4.675,6.5,False,0.1901,0.8099,0.0,0.1901,0.8099,0.52177,0.47823,0.07597,True,-0.33167,0.33167,-0.66138,0.57396,under,0.33167,0.57396,0.52408,-0.33398,False
621111,Walker Buehler,2024-05-06,2024-05-07,2024,fanduel,-154.0,120.0,3.263,4.5,False,0.2401,0.7599,0.0,0.2401,0.7599,0.57152,0.42848,0.06084,True,-0.33142,0.33142,-0.60399,0.67178,under,0.33142,0.67178,,,False
668881,Hunter Greene,2024-04-16,2024-04-17,2024,williamhill_us,-117.0,-117.0,6.099,8.5,False,0.1687,0.8313,0.0,0.1687,0.8313,0.5,0.5,0.07834,True,-0.3313,0.3313,-0.68711,0.54181,under,0.3313,0.54181,0.46059,-0.29189,False
690986,Kyle Harrison,2026-03-30,2026-03-30,2026,fanatics,-160.0,120.0,3.331,4.5,False,0.2444,0.7556,0.0,0.2444,0.7556,0.57516,0.42484,0.06993,True,-0.33076,0.33076,-0.60285,0.66232,under,0.33076,0.66232,0.55483,-0.31043,False
572020,James Paxton,2024-04-01,2024-04-02,2024,fanduel,-104.0,-122.0,3.495,5.5,False,0.1505,0.8495,0.0,0.1505,0.8495,0.48124,0.51876,0.05935,True,-0.33074,0.33074,-0.70479,0.54581,under,0.33074,0.54581,0.45988,-0.30938,False
489119,Wade Miley,2023-05-04,2023-05-04,2023,williamhill_us,120.0,-178.0,5.013,3.5,False,0.7458,0.2542,0.0,0.7458,0.2542,0.41517,0.58483,0.09483,True,0.33063,-0.33063,0.64076,-0.60299,over,0.33063,0.64076,0.40289,0.34291,False
695549,Jackson Jobe,2025-03-31,2025-04-01,2025,pinnacle,-143.0,107.0,3.156,4.5,False,0.2187,0.7813,0.0,0.2187,0.7813,0.54917,0.45083,0.07157,True,-0.33047,0.33047,-0.62836,0.61729,under,0.33047,0.61729,0.54917,-0.33047,True
671212,Joe Boyle,2024-04-01,2024-04-02,2024,betmgm,100.0,-130.0,3.453,5.5,False,0.1395,0.8605,0.0,0.1395,0.8605,0.46939,0.53061,0.06522,True,-0.32989,0.32989,-0.721,0.52242,under,0.32989,0.52242,0.44648,-0.30698,False
628317,Kenta Maeda,2024-09-29,2024-09-29,2024,williamhill_us,-109.0,-125.0,4.379,2.5,False,0.814,0.186,0.0,0.814,0.186,0.48421,0.51579,0.07709,True,0.32979,-0.32979,0.56079,-0.6652,over,0.32979,0.56079,0.46489,0.34911,False
668909,Gavin Williams,2025-04-10,2025-04-10,2025,betmgm,-155.0,120.0,4.127,5.5,False,0.2426,0.7574,0.0,0.2426,0.7574,0.57215,0.42785,0.06239,True,-0.32955,0.32955,-0.60088,0.66628,under,0.32955,0.66628,0.56765,-0.32505,False
489119,Wade Miley,2023-05-04,2023-05-04,2023,bovada,125.0,-165.0,5.013,3.5,False,0.7458,0.2542,0.0,0.7458,0.2542,0.4165,0.5835,0.06709,True,0.3293,-0.3293,0.67805,-0.59174,over,0.3293,0.67805,0.40289,0.34291,False
663623,Jake Irvin,2024-03-31,2024-03-31,2024,fanduel,124.0,-158.0,3.036,5.5,False,0.0924,0.9076,0.0,0.0924,0.9076,0.42162,0.57838,0.05883,True,-0.32922,0.32922,-0.79302,0.48203,under,0.32922,0.48203,0.41468,-0.32228,False
572020,James Paxton,2024-04-01,2024-04-02,2024,pointsbetus,-105.0,-125.0,3.495,5.5,False,0.1505,0.8495,0.0,0.1505,0.8495,0.4797,0.5203,0.06775,True,-0.3292,0.3292,-0.70617,0.5291,under,0.3292,0.5291,0.45988,-0.30938,False
572020,James Paxton,2024-04-01,2024-04-02,2024,mybookieag,-105.0,-125.0,3.495,5.5,False,0.1505,0.8495,0.0,0.1505,0.8495,0.4797,0.5203,0.06775,True,-0.3292,0.3292,-0.70617,0.5291,under,0.3292,0.5291,0.45988,-0.30938,False
