player_name,team_name,position,defensive_runs_saved,framing_runs_saved,pitches_framed,stolen_base_runs,pickoff_runs,throwing_runs,blocking_runs,infield_gb_runs,bunt_runs,double_play_runs_start,double_play_runs_pivot,infield_fb_runs,outfield_fb_runs,outfield_arm_runs
Zack Ramppen,San Francisco,C,3.51,-2.54,784,0.69,0.68,1.37,4.24,0.18,0.25,0,0,0,0,0
Xavier Rios,Cal State Northridge,C,3.48,2.88,380,-0.43,0.82,0.39,0.21,0,0,0,0,0,0,0
Colin Brown,Holy Cross,C,3.48,0.78,611,0.04,0,0.04,3.01,-0.7,0.35,0,0,0,0,0
Coen Niclai,Arizona State,C,0.52,-2.58,400,-0.05,0.79,0.74,2.29,0.12,0,0,-0.05,0,0,0
Mace Wheeler,Santa Clara,C,3.46,2.49,305,-0.19,-0.11,-0.3,1.4,0,-0.13,0,0,0.01,0,0
Shea McGahan,Kansas State,C,3.45,0.36,301,0.3,0,0.3,2.39,0.13,0.27,0,0,0,0,0
Jacob McKenzie,Southern Illinois,C,3.45,2.61,337,0.32,0,0.32,0.36,0.07,0.1,-0.01,0,0,0,0
Max Burt,Iowa,C,3.43,0.53,513,-0.06,1.28,1.22,2.27,0.09,-0.67,0,-0.01,0,0,0
Cooper Romich,Le Moyne,C,3.39,1.23,473,-1.32,0.48,-0.84,2.81,0.05,0,0,0.14,0,0,0
Clayton Pourciau,Nicholls,C,3.33,1.24,260,0.14,0.29,0.43,1.41,0.26,0,0,-0.01,0,0,0
Keaton Cottam,Austin Peay,C,3.29,1.96,268,-0.29,0.52,0.23,1.11,0,0,0,-0.01,0,0,0
Ian Nguyen,Western Kentucky,C,3.22,1.29,349,0.13,0,0.13,1.67,0,0.14,0,-0.01,0,0,0
Will Howard,Navy,C,3.22,1.41,703,0.56,0,0.56,1.39,-0.13,0,0,0,0,0,0
Andrew Raymond,Mississippi State,C,3.18,1.68,300,-0.13,0,-0.13,1.63,0,0,0,0,0,0,0
